product_id,product_name,availability,price,short_description,date_created
1,Laptop,InStock,799,156screen8GBRAM512GBSSD,2025-03-02
2,Smartphone,OutofStock,599,65display128GBstorage5G,2025-03-01
3,Headphones,InStock,199,Noisecancelingwireless20hbattery,2025-02-28
4,Smartwatch,InStock,249,HeartratemonitorGPSwaterresistant,2025-02-27
5,Tablet,LimitedStock,349,101display64GBstoragestylussupport,2025-02-26
6,GamingConsole,InStock,499,4Kgaming1TBstoragewirelesscontroller,2025-02-25
7,BluetoothSpeaker,InStock,129,Portablewaterproof12hbattery,2025-02-24
8,CoffeeMaker,InStock,89,12-cupprogrammableautoshutoff,2025-02-23
9,ElectricScooter,OutofStock,599,15-milerangefoldablelightweight,2025-02-22
10,SmartTV,InStock,999,554KHDRbuiltinapps,2025-02-21
11,MicrowaveOven,InStock,149,1000Wdigitaldisplaychildlock,2025-02-20
12,WashingMachine,LimitedStock,699,Frontload6kgcapacityenergysaving,2025-02-19
13,Refrigerator,InStock,899,Doubledoorfrostfreeenergyefficient,2025-02-18
14,AirConditioner,InStock,499,15-toninverterremotecontrol,2025-02-17
15,VacuumCleaner,InStock,149,CordlesslightweightHEPAfilter,2025-02-16
16,Blender,InStock,59,1000W5-speedglassjar,2025-02-15
17,Toaster,InStock,39,2-sliceautoshutoffcrumbtray,2025-02-14
18,OvenToasterGrill,LimitedStock,129,20Lcapacityconvectionmode,2025-02-13
19,ElectricKettle,InStock,49,15Lstainlesssteelautoshutoff,2025-02-12
20,HairDryer,InStock,39,2000Wceramicioniclightweight,2025-02-11
21,HairStraightener,InStock,69,Ceramicplatesadjustableheat,2025-02-10
22,AirFryer,LimitedStock,179,58-quartdigitaltimeroilfreecooking,2025-02-09
23,Dishwasher,InStock,749,12-placesettingenergyefficient,2025-02-08
24,RobotVacuum,InStock,399,AppcontrolselfchargingHEPAfilter,2025-02-07
25,SmartLightBulb,InStock,29,ColorchangingWi-Fivoicecontrol,2025-02-06
26,ElectricToothbrush,InStock,79,Rechargeablesoniccleaningtimer,2025-02-05
27,PortableProjector,LimitedStock,349,1080pWi-FiBluetooth,2025-02-04
28,WirelessKeyboard,InStock,59,Backlitergonomicrechargeable,2025-02-03
29,WirelessMouse,InStock,39,SilentclickadjustableDPI,2025-02-02
30,Webcam,InStock,79,1080pbuiltinmicautofocus,2025-02-01
31,ExternalHardDrive,InStock,99,2TBUSB30shockproof,2025-01-31
32,PowerBank,InStock,49,20000mAhfastchargingdualUSB,2025-01-30
33,FitnessTracker,InStock,99,Heartratemonitorstepcounter,2025-01-29
34,GamingChair,LimitedStock,299,Ergonomiclumbarsupportadjustableheight,2025-01-28
35,DeskLamp,InStock,45,DimmableLEDtouchcontrol,2025-01-27
36,SmartDoorLock,InStock,199,FingerprintaccessWi-Fienabled,2025-01-26
37,SecurityCamera,InStock,149,1080pnightvisionmotiondetection,2025-01-25
38,Drone,InStock,499,4KcameraGPSfoldable,2025-01-24
39,ElectricGuitar,InStock,399,6-stringamplifierincluded,2025-01-23
40,DigitalPiano,LimitedStock,599,88-keyweightedkeysBluetooth,2025-01-22
41,BoardGameSet,InStock,49,ChessLudoScrabblecombo,2025-01-21
42,CampingTent,InStock,129,4-personwaterprooflightweight,2025-01-20
43,SleepingBag,InStock,79,Allseasoncompacttravelfriendly,2025-01-19
44,HikingBackpack,InStock,99,50Lwaterproofergonomicdesign,2025-01-18
45,Bicycle,InStock,299,21-speedlightweightaluminumframe,2025-01-17
46,ElectricBike,OutofStock,799,25-milerangefoldablefastcharging,2025-01-16
47,FishingRod,InStock,59,Carbonfiberlightweighttelescopic,2025-01-15
48,GolfClubSet,LimitedStock,499,10-pieceprofessionalgraphiteshaft,2025-01-14
49,SkiSet,InStock,599,Adjustablebindingscarbonfiberpoles,2025-01-13
50,Surfboard,InStock,399,6'6foamlightweightdurable,2025-01-12
